Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
748	1658	7	605
749	860	1915	7
750	336	1391	6
751	6	495	1552
752	682	1737	7
753	5	617	1672
754	7	526	1581
755	495	1548	6
756	119	1174	2229
757	6	398	1453
758	561	1615	7
759	5	670	1727
760	1629	5	576
761	6	171	1228
762	2220	110	1166
763	5	272	1327
764	651	1704	9
765	1907	5	852
766	1871	4	816
767	716	1771	6
768	5	657	1710
769	188	1241	7
770	57	1110	2165
771	5	413	1468
772	1519	5	468
773	5	372	1429
774	728	1783	6
775	276	1333	6
776	5	456	1511
777	915	1972	6
778	1883	7	828
779	480	1535	7
780	276	1331	5
781	5	668	1727
782	1869	5	814
783	1468	7	413
784	1363	5	310
785	4	461	1520
786	336	1393	7
787	2115	7	1060
788	226	1281	7
789	1023	2078	7
790	723	1778	7
791	5	649	1704
792	372	1423	7
793	565	1616	7
794	1138	7	87
795	1730	5	677
796	1821	5	769
797	5	747	1802
798	23	118	1175
799	4	96	1151
800	6	452	1507
801	210	1267	7
802	265	1320	5
803	1639	7	584
804	1098	7	45
805	7	778	1833
806	1268	99	216
807	1370	5	317
808	5	862	1918
809	5	623	1677
810	681	1736	7
811	1088	2141	33
812	815	1866	7
813	7	837	1894
814	1571	5	516
815	611	1664	4
816	835	1890	5
817	7	565	1618
818	206	1259	59
819	887	1941	7
820	5	850	1907
821	681	1734	7
822	518	1575	7
823	1810	5	755
824	5	747	1802
825	2096	5	1043
826	5	511	1567
827	1015	2067	7
828	934	1989	7
829	2016	7	963
830	7	389	1444
831	1884	7	829
832	285	1342	102
833	5	127	1183
834	507	1560	7
835	880	1933	7
836	252	1305	55
837	5	426	1481
838	4	319	1374
839	5	902	1955
840	264	1318	57
841	2074	5	1023
842	6	161	1218
843	1459	7	406
844	5	720	1775
845	1987	4	932
846	383	1438	7
847	520	1573	6
848	1713	5	662
849	747	1800	5
850	1492	4	439
851	704	1757	7
852	4	178	1233
853	1689	5	638
854	1284	5	231
855	526	1579	7
856	1351	44	296
857	291	1344	37
858	1642	4	589
859	1307	7	252
860	7	181	1239
861	4	469	1528
862	5	958	2015
863	1194	4	141
864	990	2045	6
865	5	55	1111
866	1929	5	874
867	1047	2102	7
868	2084	6	1029
869	856	1909	7
870	220	1275	5
871	1772	5	721
872	2057	5	1005
873	1402	48	349
874	1648	5	597
875	424	1478	7
876	1098	5	45
877	5	964	2019
878	376	1431	65
879	274	1327	5
880	2074	7	1021
881	1010	2065	7
882	306	1359	5
883	64	1117	6
884	1903	5	852
885	855	1910	6
886	1000	2055	7
887	548	1601	9
888	1410	16	356
889	1129	5	76
890	1106	5	53
891	612	1665	7
892	1780	5	727
893	5	1045	2100
894	2038	5	987
895	5	258	1317
896	5	362	1419
897	5	698	1753
898	1420	7	365
899	1856	5	805
900	1350	5	297
901	87	462	1517
902	1115	4	62
903	46	426	1481
904	7	314	1367
905	5	308	1365
906	5	87	1144
907	1460	18	409
908	1308	5	257
909	2064	5	1011
910	180	1235	7
911	250	1303	7
912	1811	5	760
913	1560	99	507
914	944	1999	7
915	119	1168	7
916	1704	7	649
917	5	692	1747
918	5	764	1821
919	736	1791	7
920	5	588	1643
921	5	130	1185
922	5	406	1463
923	85	520	1575
924	1413	5	358
925	4	441	1494
926	1225	7	173
927	610	1665	7
928	1032	2085	7
929	1946	5	893
930	47	1102	7
