Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
804	2057	18	3369
805	1261	1308	3611
806	878	928	4276
807	1115	1162	3463
808	809	857	4205
809	1706	1755	4056
810	77	124	3475
811	1197	1245	3546
812	785	832	4181
813	1614	1662	3962
814	504	553	3900
815	1403	1451	3751
816	567	615	3961
817	1968	2018	4318
818	578	628	3973
819	26	75	4408
820	140	187	3534
821	1371	1419	3721
822	758	806	4154
823	2002	10	4350
824	853	902	4249
825	1346	1395	3694
826	361	410	3757
827	1141	1190	3489
828	372	422	3769
829	1432	1479	3778
830	781	829	4179
831	1726	1773	4074
832	468	518	3867
833	1604	1652	3954
834	580	630	3976
835	1890	1939	4240
836	738	787	4134
837	1679	1728	4029
838	2063	26	3376
839	1958	2006	4306
840	861	909	4256
841	1497	1545	3845
842	24	73	3416
843	1569	1618	3917
844	380	430	3778
845	1981	2030	4329
846	948	996	4343
847	1291	1340	3641
848	503	551	3901
849	1978	2025	4328
850	703	750	4101
851	4	54	4389
852	891	939	4288
853	1756	1805	4106
854	867	916	4263
855	1805	1854	4155
856	903	950	4301
857	1781	1830	4131
858	687	736	4085
859	1947	1995	4297
860	397	444	3795
861	1287	1336	3637
862	2026	2076	3340
863	1238	1288	3586
864	680	727	4076
865	1979	2026	4329
866	10	58	3406
867	1165	1214	3515
868	2056	18	3372
869	1430	1480	3778
870	746	795	4142
871	1893	1941	4241
872	918	965	4310
873	1053	1103	3405
874	123	170	3519
875	1105	1153	3455
876	532	579	3930
877	14	63	4398
878	465	512	3863
879	1110	1157	3460
880	518	568	3918
881	1416	1466	3766
882	573	622	3973
883	1829	1879	4181
884	2015	2062	3328
885	1920	1967	4271
886	372	421	3772
887	1306	1356	3658
888	795	842	4195
889	1874	1922	4224
890	528	576	3926
891	1550	1600	3900
892	723	770	4119
893	2028	38	4376
894	946	996	4343
895	1582	1632	3932
896	764	813	4160
897	1074	1123	3424
898	768	815	4164
899	1824	1871	4172
900	273	322	3671
901	33	82	4421
902	963	1011	4360
903	1780	1830	4128
904	2026	2076	3340
905	1943	1991	4292
906	359	407	3753
907	1840	1888	4188
908	2048	13	3361
909	1583	1631	3930
910	151	199	3546
911	1250	1297	3598
912	538	587	3934
913	1720	1770	4068
914	749	796	4145
915	1538	1586	3885
916	581	630	3977
917	1914	1961	4262
918	830	880	4225
919	1282	1331	3628
920	2059	22	3373
921	1051	1100	3399
922	685	735	4082
923	1971	2019	4318
924	729	778	4125
925	1128	1177	3478
926	370	418	3763
927	2019	27	4367
928	303	353	3701
929	1158	1205	3508
930	558	605	3952
931	26	73	4406
932	286	334	3681
933	1046	1095	3394
934	554	602	3949
935	1355	1402	3705
936	556	604	3951
937	1805	1852	4153
938	421	470	3815
939	1672	1720	4020
940	228	275	3622
941	1211	1260	3561
942	845	893	4239
943	1771	1819	4121
944	526	575	3922
945	1671	1719	4019
946	556	603	3952
947	1972	2021	4318
948	566	613	3962
949	1218	1265	3564
950	305	354	3701
951	1449	1496	3793
952	2062	26	3374
953	1599	1648	3945
954	601	650	3995
955	1576	1626	3924
956	702	752	4098
957	1347	1395	3696
958	191	240	3587
959	1361	1410	3711
960	455	503	3849
961	1855	1904	4203
962	796	845	4192
963	1950	1999	4300
964	200	250	3593
965	1405	1453	3753
966	464	513	3860
967	1663	1710	4011
968	404	454	3802
969	1645	1693	3995
970	174	221	3570
971	1503	1553	3853
972	367	416	3765
973	1624	1674	3974
974	813	860	4211
975	1836	1886	4184
976	659	706	4051
977	1810	1860	4160
978	464	512	3860
979	1171	1220	3519
980	327	375	3721
981	1970	2020	4320
982	423	470	3916
983	2016	24	4361
984	438	487	3930
985	1199	1247	3548
986	957	1005	4453
987	1576	1624	4024
988	2075	38	3488
989	1166	1215	3612
990	69	118	3562
991	1855	1903	4297
992	156	206	3654
993	1930	1978	4376
994	928	975	4425
995	1968	2018	4416
996	2060	22	3472
997	1583	1631	4033
998	941	990	4436
999	1152	1200	3598
